,Total LT ABS,Agency ABS,Corp ABS Total,Corp ABS MBS,Corp ABS NonMBS
Afghanistan,0.00,0.00,0.00,0.00,0.00
Albania,*,0.00,*,*,0.00
Algeria,0.00,0.00,0.00,0.00,0.00
Andorra,*,0.00,*,0.00,*
Angola,*,*,0.00,0.00,0.00
Anguilla,*,*,*,0.00,*
Antigua and Barbuda,*,*,*,*,0.00
Argentina,*,*,*,*,*
Armenia,0.00,0.00,0.00,0.00,0.00
Aruba,*,*,*,*,*
Australia ,18972.41,14007.41,4965.00,3494.05,1470.95
Austria,*,*,*,*,*
Azerbaijan,*,*,0.00,0.00,0.00
Bahamas,36725.84,36383.30,*,*,*
Bahrain,*,*,*,*,*
Bangladesh,0.00,0.00,0.00,0.00,0.00
Barbados,8916.31,1131.42,7784.89,5696.16,2088.73
Belarus,0.00,0.00,0.00,0.00,0.00
Belgium,27888.89,16342.44,11546.45,2136.74,9409.71
Belize,*,*,*,0.00,*
Benin,0.00,0.00,0.00,0.00,0.00
Bermuda,48078.60,25117.74,22960.86,15037.98,7922.88
Bhutan,0.00,0.00,0.00,0.00,0.00
Bolivia,*,*,*,0.00,*
"Bonaire, Sint Eustatius and Saba",0.00,0.00,0.00,0.00,0.00
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00
Botswana,*,*,*,*,*
Brazil,*,*,*,*,*
British Indian Ocean Territory,0.00,0.00,0.00,0.00,0.00
British Virgin Islands,3257.94,2013.52,1244.42,583.67,660.75
Brunei,*,0.00,*,*,*
Bulgaria,*,*,0.00,0.00,0.00
Burkina Faso,0.00,0.00,0.00,0.00,0.00
Burma,0.00,0.00,0.00,0.00,0.00
Burundi,0.00,0.00,0.00,0.00,0.00
Cambodia,742.71,742.71,0.00,0.00,0.00
Cameroon,0.00,0.00,0.00,0.00,0.00
Canada,180729.38,151155.86,29573.52,18541.57,11031.95
Cape Verde,0.00,0.00,0.00,0.00,0.00
Cayman Islands,106919.42,39122.62,67796.80,46038.20,21758.60
Central African Republic,0.00,0.00,0.00,0.00,0.00
Chad,0.00,0.00,0.00,0.00,0.00
Chile,1297.56,1220.45,*,*,*
"China, mainland",236959.32,232530.47,4428.85,2808.61,1620.24
Colombia,1383.37,1060.93,*,*,*
Comoros,0.00,0.00,0.00,0.00,0.00
Congo (Brazzaville),0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),0.00,0.00,0.00,0.00,0.00
Cook Islands,0.00,0.00,0.00,0.00,0.00
Costa Rica,*,*,*,*,*
Cote d`Ivoire,0.00,0.00,0.00,0.00,0.00
Croatia,0.00,0.00,0.00,0.00,0.00
Cuba,0.00,0.00,0.00,0.00,0.00
Curacao,*,*,*,*,*
Cyprus,*,*,*,0.00,*
Czech Republic,1731.67,1731.62,*,*,0.00
Denmark,535.95,*,*,*,*
Djibouti,0.00,0.00,0.00,0.00,0.00
Dominica,*,0.00,*,0.00,*
Dominican Republic,*,*,*,*,*
East Timor,0.00,0.00,0.00,0.00,0.00
Ecuador,*,*,*,*,*
Egypt,0.00,0.00,0.00,0.00,0.00
El Salvador,*,*,*,*,*
Equatorial Guinea,0.00,0.00,0.00,0.00,0.00
Eritrea,0.00,0.00,0.00,0.00,0.00
Estonia,0.00,0.00,0.00,0.00,0.00
Ethiopia,0.00,0.00,0.00,0.00,0.00
Falkland Islands,0.00,0.00,0.00,0.00,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,0.00,0.00,0.00
Fiji,0.00,0.00,0.00,0.00,0.00
Finland,*,0.00,*,0.00,*
France,35562.20,26061.38,9500.82,6338.13,3162.69
French Guiana,0.00,0.00,0.00,0.00,0.00
French Polynesia,*,*,*,0.00,*
Gabon,0.00,0.00,0.00,0.00,0.00
Gambia,0.00,0.00,0.00,0.00,0.00
Georgia,0.00,0.00,0.00,0.00,0.00
Germany,10788.09,4213.15,6574.94,*,6192.43
Ghana,*,*,0.00,0.00,0.00
Gibraltar,*,*,*,0.00,*
Greece,*,*,*,0.00,*
Greenland,0.00,0.00,0.00,0.00,0.00
Grenada,0.00,0.00,0.00,0.00,0.00
Guadeloupe,0.00,0.00,0.00,0.00,0.00
Guatemala,1822.52,1812.87,*,*,*
Guernsey,*,*,*,*,*
Guinea,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00
Guyana,*,*,*,*,*
Haiti,*,*,*,*,*
Holy See (Vatican),0.00,0.00,0.00,0.00,0.00
Honduras,*,*,*,*,*
Hong Kong,11045.09,9152.26,1892.83,1149.45,743.38
Hungary,2554.80,2554.80,0.00,0.00,0.00
Iceland,0.00,0.00,0.00,0.00,0.00
India,*,*,*,0.00,*
Indonesia,10741.37,10553.07,*,*,*
Iran,0.00,0.00,0.00,0.00,0.00
Iraq,0.00,0.00,0.00,0.00,0.00
Ireland,70443.50,36240.63,34202.87,30222.92,3979.95
Isle of Man,*,0.00,*,0.00,*
Israel,3941.66,3528.86,*,*,*
Italy,1216.54,749.68,*,*,*
Jamaica,*,*,0.00,0.00,0.00
Japan,252785.52,241509.33,11276.19,5846.88,5429.31
Jersey,676.80,*,*,*,*
Jordan,0.00,0.00,0.00,0.00,0.00
Kazakhstan,*,0.00,*,0.00,*
Kenya,*,*,0.00,0.00,0.00
Kiribati,0.00,0.00,0.00,0.00,0.00
"Korea, South",36134.74,33765.20,2369.54,1770.20,599.34
Kosovo,0.00,0.00,0.00,0.00,0.00
Kuwait,7835.43,4991.65,2843.78,1851.16,992.62
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00
Laos,0.00,0.00,0.00,0.00,0.00
Latvia,1236.75,843.14,*,*,*
Lebanon,*,*,*,0.00,*
Lesotho,0.00,0.00,0.00,0.00,0.00
Liberia,*,*,0.00,0.00,0.00
Libya,0.00,0.00,0.00,0.00,0.00
Liechtenstein,*,*,*,*,*
Lithuania,*,*,0.00,0.00,0.00
Luxembourg,68433.99,48871.81,19562.18,8900.36,10661.82
Macau,804.15,603.32,*,*,*
Macedonia,0.00,0.00,0.00,0.00,0.00
Madagascar,0.00,0.00,0.00,0.00,0.00
Malawi,0.00,0.00,0.00,0.00,0.00
Malaysia,16528.12,16525.55,*,*,*
Maldives,0.00,0.00,0.00,0.00,0.00
Mali,0.00,0.00,0.00,0.00,0.00
Malta,*,*,0.00,0.00,0.00
Marshall Islands,*,*,*,*,*
Martinique,0.00,0.00,0.00,0.00,0.00
Mauritania,0.00,0.00,0.00,0.00,0.00
Mauritius,*,*,*,0.00,*
Mayotte,0.00,0.00,0.00,0.00,0.00
Mexico,8650.26,8440.30,*,*,*
Moldova,0.00,0.00,0.00,0.00,0.00
Monaco,*,*,*,*,*
Mongolia,0.00,0.00,0.00,0.00,0.00
Montenegro,0.00,0.00,0.00,0.00,0.00
Montserrat,0.00,0.00,0.00,0.00,0.00
Morocco,*,*,0.00,0.00,0.00
Mozambique,0.00,0.00,0.00,0.00,0.00
Namibia,*,*,*,*,0.00
Nauru,0.00,0.00,0.00,0.00,0.00
Nepal,0.00,0.00,0.00,0.00,0.00
Netherlands,19602.37,18526.19,1076.18,556.31,519.87
Netherlands Antilles,NA,NA,NA,NA,NA
New Caledonia,0.00,0.00,0.00,0.00,0.00
New Zealand,1363.64,1134.92,*,*,*
Nicaragua,*,*,*,0.00,*
Niger,0.00,0.00,0.00,0.00,0.00
Nigeria,*,*,*,0.00,*
Niue,0.00,0.00,0.00,0.00,0.00
Norway,*,*,*,*,*
Oman,*,*,*,0.00,*
Pakistan,*,*,0.00,0.00,0.00
Palau,*,*,*,0.00,*
Panama,1425.22,921.29,503.93,*,*
Papua New Guinea,0.00,0.00,0.00,0.00,0.00
Paraguay,*,0.00,*,0.00,*
Peru,*,*,*,*,*
Philippines,*,*,*,*,*
Pitcairn Island,0.00,0.00,0.00,0.00,0.00
Poland,*,*,*,0.00,*
Portugal,*,*,*,*,*
Qatar,*,*,*,*,*
Reunion,0.00,0.00,0.00,0.00,0.00
Romania,*,0.00,*,0.00,*
Russia,0.00,0.00,0.00,0.00,0.00
Rwanda,*,*,0.00,0.00,0.00
Saint Helena,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,*,*,*,*,*
Saint Lucia,*,0.00,*,0.00,*
Saint Martin and Saint Barthelemy,0.00,0.00,0.00,0.00,0.00
Saint Pierre and Miquelon,0.00,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,0.00,0.00,0.00,0.00,0.00
Samoa,*,*,0.00,0.00,0.00
San Marino,0.00,0.00,0.00,0.00,0.00
Sao Tome and Principe,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,8919.09,8142.75,776.34,*,*
Senegal,0.00,0.00,0.00,0.00,0.00
Serbia,*,0.00,*,0.00,*
Seychelles,*,*,*,0.00,*
Sierra Leone,0.00,0.00,0.00,0.00,0.00
Singapore,28754.19,10708.36,18045.83,10541.47,7504.36
Sint Maarten,*,*,0.00,0.00,0.00
Slovakia,*,0.00,*,0.00,*
Slovenia,0.00,0.00,0.00,0.00,0.00
Solomon Islands,0.00,0.00,0.00,0.00,0.00
Somalia,0.00,0.00,0.00,0.00,0.00
South Africa,810.09,668.07,*,0.00,*
South Sudan,0.00,0.00,0.00,0.00,0.00
Spain,6747.65,6149.66,597.99,*,*
Sri Lanka,0.00,0.00,0.00,0.00,0.00
Sudan,0.00,0.00,0.00,0.00,0.00
Suriname,*,*,0.00,0.00,0.00
Eswatini,0.00,0.00,0.00,0.00,0.00
Sweden,*,*,*,*,*
Switzerland,13078.29,9464.67,3613.62,1922.96,1690.66
Syria,0.00,0.00,0.00,0.00,0.00
Taiwan,194013.04,191995.06,2017.98,1615.63,*
Tajikistan,0.00,0.00,0.00,0.00,0.00
Tanzania,0.00,0.00,0.00,0.00,0.00
Thailand,11048.71,11045.45,*,*,*
Togo,0.00,0.00,0.00,0.00,0.00
Tokelau,0.00,0.00,0.00,0.00,0.00
Tonga,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,1181.13,627.65,553.48,*,*
Tunisia,0.00,0.00,0.00,0.00,0.00
Turkey,*,*,*,0.00,*
Turkmenistan,0.00,0.00,0.00,0.00,0.00
Turks and Caicos Isl.,*,*,*,*,*
Tuvalu,0.00,0.00,0.00,0.00,0.00
Uganda,*,*,*,*,*
Ukraine,0.00,0.00,0.00,0.00,0.00
United Arab Emirates,4227.27,3567.01,660.26,*,*
United Kingdom,63263.84,44382.23,18881.61,10705.12,8176.49
Uruguay,*,*,*,*,*
Uzbekistan,0.00,0.00,0.00,0.00,0.00
Vanuatu,0.00,0.00,0.00,0.00,0.00
Venezuela,*,*,*,*,*
Vietnam,*,*,0.00,0.00,0.00
Wallis and Futuna,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza,0.00,0.00,0.00,0.00,0.00
Western Sahara,0.00,0.00,0.00,0.00,0.00
Yemen,0.00,0.00,0.00,0.00,0.00
Zambia,0.00,0.00,0.00,0.00,0.00
Zimbabwe,0.00,0.00,0.00,0.00,0.00
Int. and reg. org.,12817.92,6691.78,6126.14,*,5679.90
Country Unknown,*,*,0.00,0.00,0.00
Total Africa,1472.89,1256.64,*,*,*
Total Asia,825512.39,780224.66,45287.73,26798.09,18489.64
Total Caribbean,205763.39,104729.72,101033.67,67799.22,33234.45
Total Europe,325608.07,217743.96,107864.11,62104.11,45760.00
Total Latin America,15503.93,14303.64,1200.29,*,843.34
Australia/Oceania,20390.45,15190.16,5200.29,3688.93,1511.36
Total,1587798.57,1291296.57,296502.00,179770.13,116731.87
Holdings of FOI,604361.89,582007.19,22354.70,11879.65,10475.05

