,Total ST,Treasury,Agency,Corp,Corp CP,Corp CP Asset-backed
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00
Albania,*,0.00,0.00,*,0.00,0.00
Algeria,673.83,673.83,0.00,0.00,0.00,0.00
Andorra,*,*,0.00,*,0.00,0.00
Angola,746.32,746.21,0.00,*,0.00,0.00
Anguilla,*,*,0.00,*,0.00,0.00
Antigua and Barbuda,*,*,0.00,0.00,0.00,0.00
Argentina,6460.99,6427.89,*,*,*,0.00
Armenia,*,*,0.00,*,0.00,0.00
Aruba,*,*,0.00,*,0.00,0.00
Australia ,9090.10,8012.52,*,1048.95,506.45,0.00
Austria,2384.27,2219.68,0.00,*,0.00,0.00
Azerbaijan,*,*,0.00,0.00,0.00,0.00
Bahamas,35039.80,34703.13,*,*,*,0.00
Bahrain,*,*,0.00,*,0.00,0.00
Bangladesh,*,*,0.00,*,0.00,0.00
Barbados,1615.13,1556.14,0.00,*,*,0.00
Belarus,0.00,0.00,0.00,0.00,0.00,0.00
Belgium,52863.77,51126.65,*,1730.85,762.11,0.00
Belize,*,*,0.00,*,0.00,0.00
Benin,0.00,0.00,0.00,0.00,0.00,0.00
Bermuda,42509.04,40462.65,529.38,1517.01,1282.21,0.00
Bhutan,0.00,0.00,0.00,0.00,0.00,0.00
Bolivia,*,*,0.00,*,*,0.00
"Bonaire, Sint Eustatius and Saba",*,*,0.00,0.00,0.00,0.00
Bosnia and Herzegovina,*,0.00,0.00,*,0.00,0.00
Botswana,*,*,0.00,0.00,0.00,0.00
Brazil,3614.36,3208.78,0.00,*,*,0.00
British Indian Ocean Territory,*,*,0.00,0.00,0.00,0.00
British Virgin Islands,22774.07,22359.66,*,*,*,0.00
Brunei,877.43,877.43,0.00,0.00,0.00,0.00
Bulgaria,*,*,0.00,*,0.00,0.00
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00
Burma,0.00,0.00,0.00,0.00,0.00,0.00
Burundi,0.00,0.00,0.00,0.00,0.00,0.00
Cambodia,*,*,0.00,0.00,0.00,0.00
Cameroon,0.00,0.00,0.00,0.00,0.00,0.00
Canada,37456.14,33489.96,540.79,3425.39,2989.77,0.00
Cape Verde,0.00,0.00,0.00,0.00,0.00,0.00
Cayman Islands,147994.13,142380.57,739.34,4874.22,1786.38,0.00
Central African Republic,*,*,0.00,0.00,0.00,0.00
Chad,0.00,0.00,0.00,0.00,0.00,0.00
Chile,7162.98,6630.79,0.00,532.19,0.00,0.00
"China, mainland",28141.78,27500.27,*,639.89,*,0.00
Colombia,4367.32,4328.98,*,*,*,0.00
Comoros,*,*,0.00,*,0.00,0.00
Congo (Brazzaville),0.00,0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,0.00,0.00,0.00,0.00
Cook Islands,*,*,0.00,*,0.00,0.00
Costa Rica,1029.41,1013.88,0.00,*,*,0.00
Cote d`Ivoire,0.00,0.00,0.00,0.00,0.00,0.00
Croatia,*,*,0.00,*,0.00,0.00
Cuba,0.00,0.00,0.00,0.00,0.00,0.00
Curacao,1013.31,994.54,0.00,*,*,0.00
Cyprus,*,*,0.00,*,0.00,0.00
Czech Republic,*,*,0.00,*,0.00,0.00
Denmark,3300.29,3278.37,0.00,*,*,0.00
Djibouti,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,*,*,0.00,0.00,0.00,0.00
Dominican Republic,*,*,0.00,*,*,0.00
East Timor,0.00,0.00,0.00,0.00,0.00,0.00
Ecuador,998.51,982.29,0.00,*,*,0.00
Egypt,*,*,0.00,*,0.00,0.00
El Salvador,*,*,0.00,*,*,0.00
Equatorial Guinea,*,*,0.00,0.00,0.00,0.00
Eritrea,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,*,*,0.00,0.00,0.00,0.00
Ethiopia,0.00,0.00,0.00,0.00,0.00,0.00
Falkland Islands,0.00,0.00,0.00,0.00,0.00,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,0.00,*,0.00,0.00
Fiji,0.00,0.00,0.00,0.00,0.00,0.00
Finland,*,*,0.00,*,0.00,0.00
France,18448.24,17200.79,0.00,1247.45,1147.03,0.00
French Guiana,0.00,0.00,0.00,0.00,0.00,0.00
French Polynesia,*,*,0.00,*,0.00,0.00
Gabon,0.00,0.00,0.00,0.00,0.00,0.00
Gambia,*,*,0.00,0.00,0.00,0.00
Georgia,*,*,0.00,*,0.00,0.00
Germany,14151.62,13195.47,*,948.35,701.87,0.00
Ghana,*,*,0.00,0.00,0.00,0.00
Gibraltar,*,*,0.00,0.00,0.00,0.00
Greece,929.70,920.67,*,*,0.00,0.00
Greenland,0.00,0.00,0.00,0.00,0.00,0.00
Grenada,*,*,0.00,*,0.00,0.00
Guadeloupe,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,1572.43,1563.29,0.00,*,0.00,0.00
Guernsey,2199.00,2033.95,*,*,*,0.00
Guinea,0.00,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00
Guyana,*,*,0.00,0.00,0.00,0.00
Haiti,*,*,0.00,*,0.00,0.00
Holy See (Vatican),0.00,0.00,0.00,0.00,0.00,0.00
Honduras,*,*,0.00,*,0.00,0.00
Hong Kong,32884.57,32707.73,*,*,*,0.00
Hungary,653.38,652.13,0.00,*,0.00,0.00
Iceland,*,*,0.00,0.00,0.00,0.00
India,8694.95,8620.29,0.00,*,0.00,0.00
Indonesia,3106.85,2459.42,*,647.41,*,0.00
Iran,*,*,0.00,0.00,0.00,0.00
Iraq,0.00,0.00,0.00,0.00,0.00,0.00
Ireland,180438.66,92260.43,1688.99,86489.24,43232.29,0.00
Isle of Man,537.35,*,0.00,*,*,0.00
Israel,9629.64,8618.42,*,532.72,*,0.00
Italy,8483.71,8465.37,*,*,*,0.00
Jamaica,*,*,0.00,*,0.00,0.00
Japan,75592.06,74247.52,*,1343.24,1061.67,0.00
Jersey,1882.64,1664.17,*,*,*,0.00
Jordan,*,*,0.00,0.00,0.00,0.00
Kazakhstan,4793.61,4793.52,0.00,*,0.00,0.00
Kenya,*,*,0.00,0.00,0.00,0.00
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00
"Korea, South",4748.86,3937.67,*,802.80,*,0.00
Kosovo,*,*,0.00,0.00,0.00,0.00
Kuwait,17257.11,1306.77,*,15842.27,9735.43,0.00
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00,0.00
Laos,0.00,0.00,0.00,0.00,0.00,0.00
Latvia,*,*,0.00,0.00,0.00,0.00
Lebanon,*,*,0.00,0.00,0.00,0.00
Lesotho,*,*,0.00,0.00,0.00,0.00
Liberia,*,*,0.00,*,*,0.00
Libya,847.92,847.92,0.00,0.00,0.00,0.00
Liechtenstein,*,*,0.00,*,0.00,0.00
Lithuania,*,*,0.00,0.00,0.00,0.00
Luxembourg,150151.09,96718.43,1807.85,51624.81,23104.33,0.00
Macau,*,*,0.00,*,*,0.00
Macedonia,0.00,0.00,0.00,0.00,0.00,0.00
Madagascar,0.00,0.00,0.00,0.00,0.00,0.00
Malawi,0.00,0.00,0.00,0.00,0.00,0.00
Malaysia,*,*,0.00,*,0.00,0.00
Maldives,0.00,0.00,0.00,0.00,0.00,0.00
Mali,*,*,0.00,0.00,0.00,0.00
Malta,*,*,0.00,*,*,0.00
Marshall Islands,973.67,926.93,0.00,*,*,0.00
Martinique,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,0.00,0.00,0.00,0.00,0.00,0.00
Mauritius,*,*,0.00,0.00,0.00,0.00
Mayotte,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,15089.66,14221.79,*,855.94,*,0.00
Moldova,*,*,0.00,0.00,0.00,0.00
Monaco,667.28,666.69,0.00,*,0.00,0.00
Mongolia,*,*,0.00,0.00,0.00,0.00
Montenegro,0.00,0.00,0.00,0.00,0.00,0.00
