,Total ST,Treasury,Agency,Corp,Corp CP,Corp CP Asset-backed
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00
Albania,*,*,0.00,0.00,0.00,0.00
Algeria,673.53,673.53,0.00,0.00,0.00,0.00
Andorra,*,*,*,*,0.00,0.00
Angola,*,*,0.00,0.00,0.00,0.00
Anguilla,*,*,0.00,*,0.00,0.00
Antigua and Barbuda,*,*,*,*,0.00,0.00
Argentina,6519.94,6475.07,*,*,*,0.00
Armenia,*,*,0.00,*,0.00,0.00
Aruba,*,*,0.00,*,0.00,0.00
Australia ,13530.51,12298.81,*,1043.50,*,0.00
Austria,1006.02,1005.15,0.00,*,0.00,0.00
Azerbaijan,838.65,838.59,0.00,*,0.00,0.00
Bahamas,14044.27,13459.99,*,582.05,*,0.00
Bahrain,867.62,867.62,0.00,0.00,0.00,0.00
Bangladesh,*,*,0.00,*,0.00,0.00
Barbados,1523.97,1498.33,0.00,*,*,0.00
Belarus,0.00,0.00,0.00,0.00,0.00,0.00
Belgium,72244.23,70692.30,*,1541.71,*,0.00
Belize,*,*,0.00,*,0.00,0.00
Benin,0.00,0.00,0.00,0.00,0.00,0.00
Bermuda,45052.25,41546.24,1667.06,1838.95,1570.64,0.00
Bhutan,0.00,0.00,0.00,0.00,0.00,0.00
Bolivia,*,*,0.00,*,0.00,0.00
"Bonaire, Sint Eustatius and Saba",*,*,0.00,0.00,0.00,0.00
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00,0.00
Botswana,*,*,0.00,*,0.00,0.00
Brazil,5208.57,4825.57,*,*,*,0.00
British Indian Ocean Territory,*,*,0.00,0.00,0.00,0.00
British Virgin Islands,22789.56,21999.20,*,718.62,*,0.00
Brunei,679.14,679.02,*,0.00,0.00,0.00
Bulgaria,*,*,0.00,*,0.00,0.00
Burkina Faso,18017.10,18017.10,0.00,0.00,0.00,0.00
Burma,0.00,0.00,0.00,0.00,0.00,0.00
Burundi,*,0.00,0.00,*,0.00,0.00
Cambodia,*,*,0.00,0.00,0.00,0.00
Cameroon,0.00,0.00,0.00,0.00,0.00,0.00
Canada,29905.85,25959.26,958.91,2987.68,2301.85,0.00
Cape Verde,*,*,0.00,0.00,0.00,0.00
Cayman Islands,128184.86,118806.25,1435.90,7942.72,4268.43,0.00
Central African Republic,0.00,0.00,0.00,0.00,0.00,0.00
Chad,0.00,0.00,0.00,0.00,0.00,0.00
Chile,4359.25,3964.63,*,*,*,0.00
"China, mainland",5183.11,4894.73,*,*,*,0.00
Colombia,2403.74,2263.01,*,*,*,0.00
Comoros,0.00,0.00,0.00,0.00,0.00,0.00
Congo (Brazzaville),0.00,0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,0.00,0.00,0.00,0.00
Cook Islands,*,*,0.00,*,0.00,0.00
Costa Rica,694.31,655.53,*,*,*,0.00
Cote d`Ivoire,0.00,0.00,0.00,0.00,0.00,0.00
Croatia,*,*,*,*,0.00,0.00
Cuba,0.00,0.00,0.00,0.00,0.00,0.00
Curacao,850.26,841.81,*,*,*,0.00
Cyprus,*,*,0.00,*,0.00,0.00
Czech Republic,*,*,0.00,*,0.00,0.00
Denmark,2613.33,2411.53,*,*,*,0.00
Djibouti,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,*,*,0.00,0.00,0.00,0.00
Dominican Republic,*,*,*,*,*,0.00
East Timor,0.00,0.00,0.00,0.00,0.00,0.00
Ecuador,1056.57,1040.40,0.00,*,*,0.00
Egypt,2598.59,2596.65,*,*,0.00,0.00
El Salvador,*,*,*,*,0.00,0.00
Equatorial Guinea,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,*,*,0.00,0.00,0.00,0.00
Ethiopia,*,0.00,0.00,*,0.00,0.00
Falkland Islands,0.00,0.00,0.00,0.00,0.00,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,0.00,*,0.00,0.00
Fiji,0.00,0.00,0.00,0.00,0.00,0.00
Finland,676.44,676.37,0.00,*,0.00,0.00
France,21572.78,19756.47,*,1796.30,1642.35,0.00
French Guiana,0.00,0.00,0.00,0.00,0.00,0.00
French Polynesia,*,*,0.00,*,0.00,0.00
Gabon,*,*,0.00,*,0.00,0.00
Gambia,*,*,0.00,0.00,0.00,0.00
Georgia,*,*,0.00,*,0.00,0.00
Germany,12986.53,12403.10,*,*,*,0.00
Ghana,*,*,0.00,0.00,0.00,0.00
Gibraltar,*,*,0.00,*,0.00,0.00
Greece,2053.18,2045.32,*,*,*,0.00
Greenland,0.00,0.00,0.00,0.00,0.00,0.00
Grenada,*,*,0.00,0.00,0.00,0.00
Guadeloupe,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,669.05,514.29,*,*,*,0.00
Guernsey,2400.67,2238.17,*,*,*,0.00
Guinea,0.00,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00
Guyana,*,*,0.00,0.00,0.00,0.00
Haiti,*,*,0.00,*,0.00,0.00
Holy See (Vatican),0.00,0.00,0.00,0.00,0.00,0.00
Honduras,*,*,0.00,*,*,0.00
Hong Kong,29844.39,29745.15,*,*,*,0.00
Hungary,*,*,*,*,0.00,0.00
Iceland,*,*,*,*,0.00,0.00
India,2348.24,2274.27,*,*,0.00,0.00
Indonesia,1930.96,1364.32,*,566.62,*,0.00
Iran,0.00,0.00,0.00,0.00,0.00,0.00
Iraq,2384.00,2384.00,0.00,0.00,0.00,0.00
Ireland,148462.93,74695.73,4294.99,69472.21,31025.69,0.00
Isle of Man,*,*,*,*,*,0.00
Israel,4670.12,3552.05,*,732.31,*,0.00
Italy,2464.34,2446.50,*,*,*,0.00
Jamaica,*,*,*,*,0.00,0.00
Japan,69316.08,68085.11,*,1214.16,975.26,0.00
Jersey,2326.36,2225.67,*,*,*,0.00
Jordan,*,*,*,*,0.00,0.00
Kazakhstan,12872.29,12872.04,0.00,*,0.00,0.00
Kenya,*,*,0.00,*,0.00,0.00
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00
"Korea, South",12083.18,11699.03,*,*,*,0.00
Kosovo,*,*,0.00,0.00,0.00,0.00
Kuwait,25474.36,3122.02,*,21913.47,15335.82,0.00
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00,0.00
Laos,*,0.00,0.00,*,0.00,0.00
Latvia,*,*,0.00,*,0.00,0.00
Lebanon,*,*,0.00,0.00,0.00,0.00
Lesotho,*,*,*,0.00,0.00,0.00
Liberia,*,*,0.00,*,0.00,0.00
Libya,*,*,0.00,0.00,0.00,0.00
Liechtenstein,*,*,0.00,*,0.00,0.00
Lithuania,*,*,0.00,*,0.00,0.00
Luxembourg,129371.86,74068.65,4656.18,50647.03,17581.49,0.00
Macau,*,*,*,*,*,0.00
Macedonia,0.00,0.00,0.00,0.00,0.00,0.00
Madagascar,0.00,0.00,0.00,0.00,0.00,0.00
Malawi,0.00,0.00,0.00,0.00,0.00,0.00
Malaysia,*,*,0.00,*,0.00,0.00
Maldives,0.00,0.00,0.00,0.00,0.00,0.00
Mali,0.00,0.00,0.00,0.00,0.00,0.00
Malta,*,*,0.00,*,*,0.00
Marshall Islands,675.67,598.33,*,*,*,0.00
Martinique,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,*,*,*,0.00,0.00,0.00
Mauritius,*,*,*,*,0.00,0.00
Mayotte,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,14193.11,13127.13,*,1056.17,639.70,0.00
Moldova,*,*,0.00,0.00,0.00,0.00
Monaco,*,*,*,*,*,0.00
Mongolia,*,*,0.00,*,0.00,0.00
Montenegro,0.00,0.00,0.00,0.00,0.00,0.00
Montserrat,*,*,0.00,0.00,0.00,0.00
Morocco,*,*,0.00,0.00,0.00,0.00
Mozambique,*,*,0.00,0.00,0.00,0.00
