month,official_reserve_assets_usd_bn,fx_reserves_usd_bn,gold_usd_bn,gold_volume_moz,imf_reserve_position_usd_bn,sdrs_usd_bn,other_reserve_assets_usd_bn,source_file
2021-12,3426.908,3250.166,113.125,62.64,10.689,53.065,-0.137,build/reserve/rdtc_evidence/safe_ora_2021_MYFETCH.xlsx
2022-01,3398.241,3221.632,112.461,62.64,10.629,53.509,0.01,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-02,3397.393,3213.827,119.64,62.64,10.647,53.631,-0.351,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-03,3373.159,3187.994,121.663,62.64,10.471,53.16,-0.13,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-04,3301.196,3119.72,119.731,62.64,10.048,52.271,-0.574,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-05,3305.419,3127.78,115.183,62.64,10.126,52.498,-0.169,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-06,3246.595,3071.272,113.823,62.64,9.962,51.954,-0.417,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-07,3275.49,3104.071,109.839,62.64,10.112,51.811,-0.343,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-08,3223.762,3054.881,107.49,62.64,10.169,51.293,-0.071,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-09,3193.579,3028.955,104.724,62.64,9.956,50.454,-0.511,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-10,3215.416,3052.427,102.673,62.64,10.451,50.34,-0.476,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-11,3289.932,3117.488,111.65,63.67,10.708,50.513,-0.427,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2022-12,3306.53,3127.691,117.235,64.64,10.839,51.159,-0.395,build/reserve/rdtc_evidence/safe_ora_2022_MYFETCH.xlsx
2023-01,3372.494,3184.462,125.283,65.12,10.982,51.971,-0.204,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-02,3315.912,3133.153,120.283,65.92,10.822,51.622,0.032,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-03,3379.002,3183.872,131.653,66.5,10.915,52.469,0.092,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-04,3400.78,3204.766,132.353,66.76,10.932,52.542,0.188,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-05,3371.823,3176.508,132.152,67.27,10.773,51.972,0.418,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-06,3384.853,3192.998,129.934,67.95,9.701,52.114,0.105,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-07,3400.725,3204.27,135.36,68.69,8.121,52.873,0.101,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-08,3357.881,3160.098,135.224,69.62,9.697,52.928,-0.066,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-09,3308.465,3115.07,131.788,70.46,9.588,52.34,-0.322,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-10,3305.07,3101.224,142.171,71.2,9.582,52.314,-0.221,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-11,3380.41,3171.807,145.701,71.58,9.686,53.235,-0.019,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2023-12,3449.691,3237.977,148.226,71.87,9.747,53.596,0.145,build/reserve/rdtc_evidence/safe_ora_2023_MYFETCH.xlsx
2024-01,3431.07,3219.32,148.229,72.19,9.889,53.296,0.336,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-02,3437.507,3225.817,148.644,72.58,9.872,53.369,-0.194,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-03,3469.438,3245.657,161.069,72.74,9.845,53.203,-0.337,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-04,3430.894,3200.831,167.957,72.8,9.769,53.07,-0.734,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-05,3465.389,3232.039,170.96,72.8,9.811,53.473,-0.895,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-06,3453.853,3222.358,169.697,72.8,9.75,53.164,-1.116,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-07,3495.336,3256.372,176.642,72.8,9.847,53.649,-1.174,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-08,3534.997,3288.215,182.98,72.8,9.982,54.722,-0.902,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-09,3571.803,3316.367,191.469,72.8,10.149,54.864,-1.046,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-10,3522.531,3261.05,199.055,72.8,9.964,53.86,-1.398,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-11,3521.641,3265.86,193.431,72.96,9.832,53.303,-0.785,build/reserve/rdtc_evidence/safe_ora_2024_MYFETCH.xlsx
2024-12,3455.558,3202.357,191.337,73.29,9.758,52.688,-0.582,build/reserve/rdtc_evidence/safe_cn_ora_2024.html
2025-01,3478.007,3209.036,206.534,73.45,10.048,52.712,-0.323,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-02,3498.558,3227.224,208.643,73.61,10.087,53.077,-0.473,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-03,3533.893,3240.665,229.594,73.7,10.112,53.882,-0.36,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-04,3591.327,3281.662,243.585,73.77,11.186,55.051,-0.157,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-05,3593.464,3285.255,241.988,73.83,11.303,55.218,-0.3,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-06,3627.081,3317.422,242.931,73.9,11.286,55.93,-0.488,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-07,3602.07,3292.235,243.985,73.96,10.928,55.269,-0.347,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-08,3643.149,3322.154,253.843,74.02,11.34,56.013,-0.201,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-09,3688.939,3338.658,283.291,74.06,11.229,56.114,-0.353,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-10,3706.844,3343.343,297.209,74.09,11.058,55.562,-0.328,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-11,3723.651,3346.372,310.647,74.12,11.059,55.716,-0.143,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2025-12,3744.307,3357.869,319.45,74.15,11.179,55.824,-0.015,build/reserve/rdtc_evidence/safe_ora_2025_MYFETCH.xlsx
2026-01,3836.281,3399.078,369.582,74.19,11.198,56.234,0.189,build/reserve/rdtc_evidence/safe_ora_2026_MYFETCH.xlsx
2026-02,3882.693,3427.807,387.588,74.22,11.14,56.093,0.065,build/reserve/rdtc_evidence/safe_ora_2026_MYFETCH.xlsx
2026-03,3751.123,3342.123,342.763,74.38,10.903,55.343,-0.009,build/reserve/rdtc_evidence/safe_ora_2026_MYFETCH.xlsx
2026-04,3821.717,3410.547,344.172,74.64,10.938,56.033,0.027,build/reserve/rdtc_evidence/safe_ora_2026_MYFETCH.xlsx
2026-05,3850.586,3442.238,340.752,74.96,11.185,56.034,0.377,build/reserve/rdtc_evidence/safe_cn_27116.html
